Dangerous Beat,TOTAL_DAMAGE_PER_BEAT,DANGEROUS_BEAT_TOTAL_DAMAGE,PERCENTAGE
2212.0,8639752.3857319951,1007382755.4846245,0.85764346656655288
2213.0,7038066.1051836871,1007382755.4846245,0.698648658304446
2221.0,7447779.1646369882,1007382755.4846245,0.73931969989441237
2223.0,8446059.3307745252,1007382755.4846245,0.83841611192871335
2411.0,9815625.7121810168,1007382755.4846245,0.97436904282315073
2412.0,6968645.0620448897,1007382755.4846245,0.6917574302423376
2413.0,11918909.289953861,1007382755.4846245,1.1831559777117684
2432.0,6341485.8090476003,1007382755.4846245,0.6295011279994448
2433.0,6606843.6167801823,1007382755.4846245,0.65584243732679437
2511.0,7321849.241878801,1007382755.4846245,0.7268189972496063
2512.0,11481332.867903968,1007382755.4846245,1.1397190199449672
2514.0,6804797.2562822029,1007382755.4846245,0.67549272798585869
2515.0,7525705.5348871974,1007382755.4846245,0.74705522741123209
2521.0,9579948.2495282944,1007382755.4846245,0.9509740163181214
2533.0,10657984.399673,1007382755.4846245,1.0579875763850786
2534.0,8017669.8615281973,1007382755.4846245,0.79589111664623591
331.0,12207448.534045616,1007382755.4846245,1.2117984418120147
411.0,10067727.186126476,1007382755.4846245,0.99939443387465632
412.0,9407712.8680187222,1007382755.4846245,0.93387670344753193
413.0,8842853.515796287,1007382755.4846245,0.87780473386624824
432.0,6704310.2036581095,1007382755.4846245,0.66551766616581076
511.0,8910848.4703502934,1007382755.4846245,0.8845543982002676
622.0,8856590.8179328945,1007382755.4846245,0.87916839649217826
623.0,10552112.339171302,1007382755.4846245,1.04747796026099
632.0,10004888.590847054,1007382755.4846245,0.99315662655293058
811.0,11873179.141846828,1007382755.4846245,1.1786164769253931
813.0,18367569.282707781,1007382755.4846245,1.8232959798752602
814.0,8559564.9830195941,1007382755.4846245,0.84968349283503675
815.0,18342418.765622534,1007382755.4846245,1.8207993601000738
821.0,12049796.4303148,1007382755.4846245,1.1961487691456432
822.0,10862120.333414596,1007382755.4846245,1.0782515656811222
823.0,9188961.3555930965,1007382755.4846245,0.9121618675289449
824.0,7721827.7483322797,1007382755.4846245,0.76652371765263327
833.0,16131547.412208701,1007382755.4846245,1.6013324949609893
834.0,14528629.925644597,1007382755.4846245,1.4422154684050816
835.0,11270761.207832698,1007382755.4846245,1.1188161745344392
911.0,11908830.603559906,1007382755.4846245,1.1821554953887303
912.0,11468686.192094952,1007382755.4846245,1.1384636206699486
914.0,9887412.4652791042,1007382755.4846245,0.98149510813519325
922.0,9731538.0307680927,1007382755.4846245,0.96602189959927531
924.0,6777920.8988777911,1007382755.4846245,0.67282478898669629
